10.0.13.89 - - [27/Aug/2018:09:31:22 +0400] "GET /EXXO/tags.jsp HTTP/1.1" 200 485
10.0.13.89 - - [27/Aug/2018:09:31:23 +0400] "GET /EXXO/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 485
10.0.13.89 - - [27/Aug/2018:09:31:23 +0400] "GET /WELLCOME/ HTTP/1.1" 200 3667
10.0.13.89 - - [27/Aug/2018:09:31:23 +0400] "GET /favicon.ico HTTP/1.1" 404 1008
10.0.13.89 - - [27/Aug/2018:09:31:25 +0400] "GET /WELLCOME/logo.png HTTP/1.1" 304 -
10.0.13.89 - - [27/Aug/2018:09:31:25 +0400] "GET /WELLCOME/assets/jquery-3.3.1.min.js HTTP/1.1" 304 -
10.0.13.89 - - [27/Aug/2018:09:31:25 +0400] "GET /WELLCOME/back.png HTTP/1.1" 304 -
10.0.13.89 - - [27/Aug/2018:09:31:25 +0400] "GET /favicon.ico HTTP/1.1" 404 1008
10.0.13.89 - admin [27/Aug/2018:09:31:32 +0400] "POST /WELLCOME/index.xhtml;jsessionid=5574D9E3D3ECA720B3A90D57331200D7 HTTP/1.1" 302 -
10.0.13.89 - admin [27/Aug/2018:09:31:33 +0400] "GET /EXXO/ HTTP/1.1" 200 39969
10.0.13.89 - admin [27/Aug/2018:09:31:33 +0400] "GET /FILES/alloy/build/aui/aui.js HTTP/1.1" 304 -
10.0.13.89 - admin [27/Aug/2018:09:31:33 +0400] "GET /EXXO/index.css HTTP/1.1" 304 -
10.0.13.89 - admin [27/Aug/2018:09:31:33 +0400] "GET /EXXO/blue.css HTTP/1.1" 304 -
10.0.13.89 - admin [27/Aug/2018:09:31:33 +0400] "GET /EXXO/vids.css HTTP/1.1" 304 -
10.0.13.89 - admin [27/Aug/2018:09:31:33 +0400] "GET /EXXO/css/exxo.css HTTP/1.1" 304 -
10.0.13.89 - admin [27/Aug/2018:09:31:33 +0400] "GET /FILES/alloy/build/aui-skin-classic/css/aui-skin-classic-all-min.css HTTP/1.1" 304 -
10.0.13.89 - admin [27/Aug/2018:09:31:33 +0400] "GET /EXXO/logo.png HTTP/1.1" 304 -
