192.168.100.230 - - [04/Jun/2018:12:43:20 +0400] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/event-synthetic/event-synthetic-min.js HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/base-core/base-core-min.js HTTP/1.1" 200 3665
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/event-base/event-base-min.js HTTP/1.1" 200 7503
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/event-key/event-key-min.js HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/pluginhost-config/pluginhost-config-min.js HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/attribute-core/attribute-core-min.js HTTP/1.1" 200 4671
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/selector/selector-min.js HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/node-style/node-style-min.js HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/attribute-events/attribute-events-min.js HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/base-base/base-base-min.js HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/async-queue/async-queue-min.js HTTP/1.1" 200 3147
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/gesture-simulate/gesture-simulate-min.js HTTP/1.1" 200 10510
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/attribute-extras/attribute-extras-min.js HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/attribute-complex/attribute-complex-min.js HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/attribute-base/attribute-base-min.js HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/plugin/plugin-min.js HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/event-simulate/event-simulate-min.js HTTP/1.1" 200 7248
0:0:0:0:0:0:0:1 - boss [04/Jun/2018:13:57:55 +0400] "GET /FILES/alloy/build/node-menunav/node-menunav-min.js HTTP/1.1" 200 11753
